"","mass_density","ratio_oxygen_by_transition_metal_atom","ratio_atoms_cell_by_cell_vol","electronic_energy_band_gap","energy_atom","point_group","c.a_ratio","AGL_bulk_mod","Thermal_Conductivity"
"74",4.34883,3,0.091560418,0.4469,-6.93377,8,1.398581755,132.775,"Low"
"75",5.07482,2.5,0.07533335,1.8335,-6.96423,8,2.852211107,115.114,"Low"
"76",3.62988,2,0.067244408,1.0851,-5.07432,16,2.080478459,87.1187,"Low"
"77",6.30751,3.5,0.066619831,2.0853,-7.06209,48,1,141.134,"Low"
"78",5.39781,3,0.085102399,0.2367,-5.91972,8,1.431930973,159.993,"Low"
"79",5.26864,1.33,0.064757403,0.7847,-4.73709,8,0.643016199,96.7633,"Low"
"80",6.77222,2,0.086841093,1.928,-5.72038,48,1,187.028,"Low"
"81",7.0988,2,0.081828278,0,-6.1516,8,1,170.138,"Low"
"82",5.45089,1.67,0.073621439,0,-4.98132,8,0.351699843,103.109,"Low"
"83",5.67964,3.5,0.080846982,0,-6.77106,48,1,156.408,"Low"
"84",6.08968,3,0.078092665,0,-7.98439,48,1,158.455,"Low"
"85",6.88743,3.5,0.0749255,0.1483,-10.3493,48,1,171.035,"Low"
"86",5.78322,3,0.063136495,4.5627,-8.60307,4,1.445333818,132.302,"Low"
"87",6.02418,4,0.067199032,2.7616,-6.99725,16,1,135.508,"Low"
"88",5.94794,2,0.101009463,2.3816,-5.39371,48,1,171.65,"Low"
"89",6.02846,2,0.086405352,2.1913,-5.7353,48,1,182.843,"Low"
"90",10.8692,2,0.082472186,0.5795,-4.85624,8,0.507189975,192.442,"Low"
"91",8.41289,3,0.081986702,1.5949,-6.87782,8,1.433593259,142.569,"Low"
"92",8.03756,3,0.0806965,1.4152,-6.96224,16,1.959566903,204.459,"Low"
"93",4.59725,1.5,0.04248702,1.6,-7.90985,6,0.520701764,88.267,"Low"
"94",2.81595,3.5,0.064,4.47,-8.03,24,1,158.117,"Low"
"95",5.98438,3.5,0.083746993,1.0262,-5.95436,48,1,164.873,"Low"
"96",7.23387,3.5,0.07657874,2.8929,-7.03908,48,1,142.607,"Low"
"97",9.43152,0.33,0.043435958,0,-3.99092,48,1,50.7189,"Low"
"98",7.23794,3.5,0.072222313,2.1547,-8.76022,48,1,152.771,"Low"
"99",5.5749,3,0.071974032,2.1853,-7.45354,24,2.440520388,144.107,"Low"
"100",7.06112,2,0.088804313,2.0292,-5.30993,48,1,190.74,"Low"
"101",6.42783,2,0.077064856,0.3589,-5.9266,8,1.21453009,160.05,"Low"
"102",6.06196,2,0.087518734,1.6901,-5.50833,24,4.258978642,146.471,"Low"
"103",7.41013,3.5,0.073569245,2.2244,-7.11239,48,1,156.924,"Low"
"104",7.54439,3.5,0.074108009,2.2087,-7.10839,48,1,158.054,"Low"
"105",3.61456,1.5,0.078918812,4.276,-8.58426,24,1,159.052,"Low"
"106",5.26527,2,0.073321846,3.7068,-8.31499,4,0.761651939,147.576,"Low"
"107",7.65603,3.5,0.07466663,2.1953,-7.10373,48,1,158.797,"Low"
"108",7.76459,3.5,0.075209304,2.173,-7.10082,48,1,159.947,"Low"
"109",7.76459,3.5,0.075209304,2.173,-7.10082,48,1,159.947,"Low"
"110",5.18432,2,0.06818085,0,-5.18657,8,0.477126678,97.3228,"Low"
"111",5.23267,3,0.084758692,3.1938,-5.53372,8,1.511270452,139.755,"Low"
"112",5.7573,2.67,0.087732125,3.88,-8.73,8,1,214.648,"Low"
"113",6.29411,3,0.08967122,0.4566,-6.26122,8,1.456068033,181.275,"Low"
"114",10.6579,2,0.086711468,0.6013,-5.23445,8,0.520120768,201.604,"Low"
"115",4.52769,4,0.069950452,5.3868,-7.95741,16,1,154.416,"Low"
"116",4.54336,2,0.072865433,2.457,-6.32628,8,2.954718027,120.41,"Low"
"117",6.10941,2,0.08903996,1.0375,-5.03943,24,3.835712363,148.377,"Low"
"118",5.5622,3,0.08683068,3.6269,-7.76513,8,2.815084973,213.379,"Low"
"119",5.41548,2,0.092625673,0.8331,-7.25374,8,3.127152972,160.312,"Low"
"120",2.82237,3,0.068955055,2.7076,-7.21722,4,0.916796376,126.234,"Low"
"121",4.54933,4,0.06444787,2.5168,-8.17348,16,1,139.283,"Low"
"122",5.87171,3.5,0.07378069,2.2481,-7.43095,48,1,155.774,"Low"
"123",5.86971,3.5,0.07375546,2.2472,-7.43093,48,1,155.813,"Low"
"124",4.642,2,0.087778697,3.2627,-8.02361,48,1,165.821,"Low"
"125",4.73595,0.33,0.035870579,0,-4.27255,48,1,41.3158,"Low"
"126",7.58313,3,0.072277523,1.1112,-5.7413,8,1.2909094,130.719,"Low"
"127",6.3481,3,0.086407189,0.8785,-5.91874,16,1.985710642,180.043,"Low"
"128",4.60609,2,0.083947952,1.5203,-5.96357,48,1,134.45,"Low"
"129",5.22444,3.5,0.086589969,0.8556,-8.10328,48,1,162.913,"Low"
"130",4.33637,2,0.074345988,2.6414,-6.73244,24,3.486913658,128.82,"Low"
"131",6.90904,2,0.082834028,0.1517,-5.85956,24,1,169.617,"Low"
"132",6.01864,3.5,0.081044442,0.5591,-7.68351,48,1,185.368,"Low"
"133",5.32897,2,0.087004563,2.5906,-6.40901,24,3.758609209,152.151,"Low"
"134",5.88515,1.83,0.078911962,0.4695,-8.54476,12,1.257746184,193.73,"Low"
"135",4.9955,1,0.080295165,1.7992,-5.84584,12,1.591391631,122.06,"Low"
"136",4.6491,4,0.065658445,2.7237,-8.2441,16,1,142.546,"Low"
"137",6.22351,3,0.07464172,1.4565,-5.67192,12,0.923295162,151.986,"Low"
"138",5.99856,3,0.08670846,2.6187,-6.36042,4,1.409044338,180.303,"Low"
"139",7.73588,3.5,0.068620907,4.4648,-9.3467,48,1,168.135,"Medium"
"140",5.86812,2,0.097402146,2.1223,-5.67634,48,1,175.24,"Medium"
"141",5.3465,1.5,0.073535089,0,-4.8533,8,0.578657852,104.741,"Medium"
