"","DF.L1.C1","DF.L1.C2","y_scaled"
"1",-0.0301562891718519,-0.133761432356923,2.4349
"2",-0.241444824019958,0.211597690354904,12.2468
"3",0.119988016040467,-0.22361340970293,4.10466
"4",0.19953247849112,-0.20196078466737,2.95475
"5",0.102147412883686,-0.20711740085471,2.33078
"6",-0.0223178387169503,-0.22154097556699,1.492
"7",-0.0550116615078622,-0.245828732888049,2.61324
"8",-0.117082726582902,-0.23662170176685,2.28828
"9",0.295212810813372,-0.206510263841027,2.40141
"10",0.0156147521354411,-0.336216834821032,0.691056
"11",-0.294525027677722,0.115848359035459,1.57588
"12",-0.230376988946046,-0.0964971930843885,2.47715
"13",-0.350198604542747,-0.0437804182865005,0.0174529
"14",0.00872894547318881,-0.333640901570443,0.545209
"15",0.223199936886561,-0.170176162307637,0.452188
"16",0.0120354825760005,-0.113893422657277,0.747144
"17",0.0418635581123407,-0.111293429403494,1.07225
"18",-0.170345711542296,0.266125860935894,22.272
"19",0.161576779404379,-0.212670234528712,8.57476
"20",0.00982379769837516,-0.104702745594498,9.925
"21",-0.0541345985775787,0.163969003787721,11.38
"22",0.406966352485532,-0.0376790604732968,8.79
"23",0.123086978904692,0.0982870560809477,7.49817
"24",0.0436619534102269,-0.185114786259671,2.75783
"25",-0.0212827679194074,-0.176381098724834,1.79906
"26",0.218361030206549,-0.16381449800446,2.32446
"27",0.356435914855836,0.085049980641463,19.3308
"28",0.450447437959647,0.148563008770033,17.4699
"29",0.191035728811934,-0.237713908704456,3.57166
"30",-0.339656132865107,0.277908801192297,7.22743
"31",-0.360976078951579,0.197979453321515,11.8894
"32",0.145478343624534,-0.304271529416813,12.4976
"33",0.155532201537802,-0.396642876644475,10.4578
"34",-0.379116336082081,0.23950130948076,7.688
"35",-0.310032233695619,0.226799777493116,16.6821
"36",-0.366041806637776,0.215910221898127,14.01
"37",0.0246602180668877,-0.13203598399078,6.46
"38",0.127033089183416,-0.199397211138655,1.99198
"39",-0.54617794993383,-0.167640872707256,2.87552
"40",-0.0468701373522016,0.0574721969288091,2.63685
"41",-0.039448022207583,-0.0463654042774455,4.05023
"42",0.268626910002982,-0.0209893662053373,4.5882
