"","DF.L1.C1","DF.L1.C2","DF.L1.C3","DF.L1.C4","DF.L1.C5","y_scaled"
"1",-0.147910214185429,0.128240979896185,0.0238805961138873,0.0699993099314276,-0.131411202003933,2.4349
"2",-0.233140466247196,-0.203965741518923,-0.0151323481435608,-0.238196550000987,0.00873976722789149,12.2468
"3",-0.292805268792535,0.284620936707166,0.0343238809275012,-0.359524584496801,0.398958122906389,4.10466
"4",-0.301402965903488,0.253391400098577,-0.000467135499778726,-0.384015622729522,0.348995940192278,2.95475
"5",-0.318897314169717,0.291777318943308,0.00217911365128765,-0.385206053779304,0.319009206015911,2.33078
"6",-0.305039476733552,0.319370156256354,-0.0716136614731504,-0.311288496150816,0.218654315407805,1.492
"7",-0.200908525557288,0.286513507529729,-0.101074406643039,-0.17760469941293,0.297002689727149,2.61324
"8",-0.158944403131081,0.282354265147836,-0.165288170068351,-0.0966919587738913,0.21486386811127,2.28828
"9",0.263271550664474,0.172664983206607,0.0412420745062496,0.224154804405833,-0.0842115273283925,2.40141
"10",0.133710554796953,0.27645394437325,-0.146203953579421,0.418443242727588,-0.251307451902598,0.691056
"11",-0.260254362412237,-0.159132910580957,-0.125181182108995,-0.0678605665722967,-0.0525456825437334,1.57588
"12",-0.504926307417205,0.106494039665016,-0.0135577775714697,0.0844766903779839,-0.0149620714780805,2.47715
"13",-0.502327588570555,0.0617437122095519,-0.115292107351905,-0.0313959865395379,-0.162476879243904,0.0174529
"14",0.132570864870551,0.2837222602875,-0.181520122995782,0.4281797837178,-0.289135797289404,0.545209
"15",0.0354707561660451,0.197336557316207,-0.0455833928219214,0.188657185739765,-0.25882091238953,0.452188
"16",-0.105454260286997,0.116050145705436,-0.0129996668856547,0.103141130882029,-0.147553261336672,0.747144
"17",-0.0808023580223241,0.0982747760199656,0.000779307208402247,0.123897793419259,-0.113412452833182,1.07225
"18",-0.132163717062388,-0.298140990760122,-0.00143679647584904,-0.221505845175551,0.0723541364724543,22.272
"19",-0.255454470722498,0.241119559670119,0.111112379816001,-0.329146289822471,0.441053974175143,8.57476
"20",0.000160476742016913,0.106206492979717,-0.0301225579840978,-0.194364481724206,0.327039627752597,9.925
"21",-0.127955844655509,-0.321984069867769,0.0131320055341361,-0.0415989114302766,0.175793228146094,11.38
"22",0.473978536402168,-0.111460911136465,-0.0208845320879707,0.221682036601414,0.0459583373022044,8.79
"23",0.393211946608053,-0.183551598573379,0.000831551369015027,-0.0128327903981449,-0.0333721611698294,7.49817
"24",-0.187601564617676,0.255120330273623,-0.135669153291611,-0.185534961941949,0.208471066157924,2.75783
"25",-0.117244767294846,0.230921473583551,-0.214778511585538,-0.0761498386221531,0.125704313530577,1.79906
"26",0.155286036960544,0.228214552464343,-0.142577207361486,-0.117756361310251,0.0376782391704533,2.32446
