"","mass_density","oxygen.transition_metal_atom","atoms_cell.cell_vol","electronic_energy_band_gap","energy_atom","space_group","point_group","c.a_ratio","AGL_thermal_conductivity"
"80",6.29411,3,0.08967122,0.4566,-6.26122,62,8,1.456068033,4.43936
"81",6.79017,3.5,0.077510367,0.4798,-5.36123,227,48,1,2.95423
"82",7.93969,3.5,0.075274667,2.1174,-7.38325,227,48,1,5.63437
"83",6.14323,2,0.076855582,1.4193,-4.03947,205,24,1,2.15515
"84",4.70755,1,0.044950083,1.3562,-3.56908,60,8,1.686468044,0.492799
"85",6.1915,2,0.082360208,1.1565,-5.47771,227,48,1,3.10202
"86",7.18237,2,0.074298542,0.3593,-4.75786,55,8,3.084148722,1.9816
"87",4.54933,4,0.06444787,2.5168,-8.17348,141,16,1,4.55947
"88",4.49239,1,0.057825752,5.07,-7.46,129,16,0.5875,215.726
"89",4.99028,1,0.080211116,2.4661,-5.8269,216,24,1,7.12888
"90",5.58305,3,0.086408765,0,-5.67577,221,48,1,5.97575
"91",10.6579,2,0.086711468,0.6013,-5.23445,65,8,0.520120768,4.44125
"92",3.62988,2,0.067244408,1.0851,-5.07432,129,16,2.080478459,3.41067
"93",6.28068,3,0.085437631,0.8758,-6.12248,136,16,1.99303911,6.78386
"94",4.9955,1,0.080295165,1.7992,-5.84584,186,12,1.591391631,4.85589
"95",6.77222,2,0.086841093,1.928,-5.72038,227,48,1,3.5876
"96",5.23267,3,0.084758692,3.1938,-5.53372,62,8,1.511270452,4.29365
"97",5.98438,3.5,0.083746993,1.0262,-5.95436,227,48,1,3.85485
"98",6.48151,3,0.081692405,1.7885,-8.08312,221,48,1,16.9784
"99",5.16477,2,0.111088893,0,-7.27029,225,48,1,18.8664
"100",5.32897,2,0.087004563,2.5906,-6.40901,194,24,3.758609209,4.84194
"101",5.88616,4,0.075085879,0.2367,-7.68682,141,16,1,5.86044
"102",5.76995,4,0.074213798,0.2425,-7.68734,141,16,1,5.7556
"103",4.04124,2,0.079084205,3.082,-6.44653,194,24,3.847374903,8.42349
"104",4.65182,2,0.100055865,0,-7.46746,136,16,0.663746983,9.66821
"105",3.75947,4,0.09242856,2.3387,-7.59243,63,8,1.331204589,16.0695
"106",5.5207,4,0.072558848,0.2556,-7.69236,141,16,1,6.18622
"107",3.78281,4,0.081878288,2.0747,-7.80516,63,8,1.226663865,11.8175
"108",7.07091,2,0.080871097,1.5799,-6.55242,227,48,1,2.51445
"109",4.18264,2,0.091692046,4.2776,-7.47939,227,16,1,6.52669
"110",4.18185,2,0.091674634,4.2825,-7.47939,227,48,1,6.62558
"111",4.642,2,0.087778697,3.2627,-8.02361,227,48,1,4.58145
"112",5.52627,3,0.091431822,1.5291,-6.90599,136,16,1.99197997,6.43882
"113",6.48988,3,0.091639429,1.3326,-8.2221,136,16,1.946618211,8.187
"114",4.95407,2,0.106556795,0,-7.35863,205,24,1,8.31568
"115",5.20196,2,0.093966038,4.3144,-7.05336,141,16,0.99819974,6.59846
"116",5.20069,2,0.093943339,4.3264,-7.05338,227,48,1,6.61192
"117",4.22102,2,0.044507744,1.2829,-4.26136,63,8,0.82428564,1.45598
"118",4.41627,2,0.048190739,1.9729,-5.62294,227,48,1,1.23159
"119",5.56123,2,0.052780893,2.84,-6.92,194,24,3.854341737,23.2336
"120",4.68948,0.67,0.034622442,1.4945,-3.52205,136,16,1.200735379,0.488223
"121",6.10941,2,0.08903996,1.0375,-5.03943,194,24,3.835712363,4.52881
"122",6.23075,2,0.071347032,0.4446,-4.90755,194,24,3.49947437,2.52247
"123",5.96773,1,0.090359745,0,-4.17131,15,4,1.758671889,1.43012
"124",5.3465,1.5,0.073535089,0,-4.8533,65,8,0.578657852,5.34777
"125",4.33637,2,0.074345988,2.6414,-6.73244,194,24,3.486913658,4.74294
"126",5.18432,2,0.06818085,0,-5.18657,63,8,0.477126678,4.29353
"127",4.87204,2,0.063626892,2.7617,-7.05577,194,24,3.225850798,3.18158
"128",5.45089,1.67,0.073621439,0,-4.98132,65,8,0.351699843,3.63613
"129",6.01944,0.5,0.076000162,0.6558,-3.6167,224,48,1,0.253177
"130",5.78034,1.33,0.072878153,1.5995,-4.47772,225,48,1,1.60525
"131",5.85747,0.75,0.081712698,0.0653,-3.98597,141,16,1,0.710014
"132",6.31819,4,0.082286467,2.7789,-8.11733,88,8,1,6.29261
"133",5.5842,4,0.072726832,2.9629,-8.1556,141,16,1,5.50685
"134",9.10692,3.5,0.075981543,3.2266,-9.37413,227,48,1,5.89607
"135",7.54439,3.5,0.074108009,2.2087,-7.10839,227,48,1,4.16156
"136",6.62585,3.5,0.082380343,3.2411,-8.27656,227,48,1,6.58845
"137",6.92329,3.5,0.085107041,0.8467,-8.20289,227,48,1,3.05528
"138",9.33528,3.5,0.076963442,3.01,-9.36,227,48,1,59.6369
"139",7.76459,3.5,0.075209304,2.173,-7.10082,227,48,1,4.27098
"140",7.76459,3.5,0.075209304,2.173,-7.10082,227,48,1,4.27098
"141",6.84679,3.5,0.083633018,3.1172,-8.27537,227,48,1,6.58502
"142",6.58174,3,0.079957271,0.7569,-9.07705,221,48,1,14.8487
"143",6.40838,3,0.079489234,0.5431,-7.45826,221,48,1,13.9237
