iter	Passed	Remaining
404	8910	35090
405	8935	35083
406	8946	35017
407	8948	34915
408	8972	34903
409	8997	34892
410	9021	34879
411	9026	34790
412	9050	34778
413	9075	34765
414	9100	34755
415	9100	34652
416	9125	34642
417	9150	34632
418	9175	34620
419	9199	34608
420	9223	34594
421	9248	34581
422	9272	34568
423	9276	34481
424	9300	34467
425	9324	34452
426	9348	34438
427	9373	34428
428	9398	34415
429	9422	34404
430	9447	34391
431	9471	34377
432	9495	34364
433	9496	34265
434	9496	34166
435	9521	34153
436	9544	34138
437	9545	34042
438	9571	34033
439	9596	34023
440	9620	34010
441	9645	33997
442	9669	33985
443	9670	33889
444	9680	33828
445	9705	33815
446	9729	33802
447	9753	33790
448	9778	33778
449	9803	33766
450	9827	33752
451	9853	33745
452	9879	33738
453	9905	33729
454	9909	33649
455	9934	33637
456	9960	33630
457	9985	33618
458	9986	33528
459	10011	33516
460	10035	33501
461	10059	33488
462	10084	33478
463	10109	33465
464	10133	33451
465	10158	33438
466	10182	33426
467	10207	33414
468	10231	33400
469	10256	33387
470	10280	33373
471	10304	33360
472	10309	33282
473	10333	33268
474	10357	33254
475	10383	33244
476	10407	33230
477	10432	33218
478	10456	33204
479	10481	33190
480	10505	33176
481	10529	33161
482	10553	33146
483	10558	33070
484	10582	33056
485	10606	33042
486	10630	33027
487	10655	33013
488	10679	32999
489	10704	32986
490	10728	32972
491	10753	32958
492	10753	32872
493	10764	32817
494	10789	32804
495	10813	32789
496	10837	32775
497	10861	32759
498	10862	32673
499	10886	32658
500	10910	32643
501	10936	32635
502	10961	32624
503	10987	32613
504	11012	32601
505	11025	32552
506	11049	32539
507	11052	32460
508	11076	32447
509	11101	32432
510	11126	32420
511	11150	32406
512	11175	32393
513	11199	32379
514	11224	32366
515	11248	32350
516	11249	32269
517	11273	32254
518	11274	32173
519	11298	32158
520	11323	32144
521	11348	32131
522	11372	32117
523	11377	32047
524	11377	31966
525	11402	31953
526	11427	31940
527	11451	31925
528	11476	31911
529	11500	31897
530	11524	31882
531	11535	31830
532	11559	31814
533	11561	31740
534	11585	31726
535	11609	31710
536	11634	31695
537	11658	31681
538	11682	31667
539	11706	31651
540	11707	31572
541	11731	31558
542	11736	31491
543	11747	31441
544	11771	31427
545	11796	31413
546	11797	31338
547	11821	31323
548	11846	31308
549	11870	31294
550	11894	31280
551	11920	31268
552	11946	31259
553	11947	31185
554	11972	31172
555	11997	31159
556	11999	31086
557	12023	31072
558	12024	30997
559	12049	30983
560	12073	30970
561	12098	30956
562	12123	30943
563	12147	30928
564	12172	30915
565	12177	30851
566	12200	30835
567	12224	30820
568	12249	30805
569	12253	30741
570	12277	30725
571	12301	30711
572	12326	30697
573	12350	30683
574	12375	30669
575	12399	30655
576	12423	30640
577	12448	30625
578	12472	30609
579	12497	30596
580	12521	30581
581	12545	30566
582	12569	30551
583	12593	30536
584	12618	30521
585	12642	30506
586	12644	30436
587	12668	30421
588	12692	30405
589	12716	30391
590	12741	30376
591	12752	30330
592	12777	30316
593	12801	30301
594	12826	30286
595	12850	30271
596	12874	30256
597	12899	30242
598	12903	30180
599	12928	30165
600	12951	30148
601	12977	30138
602	13004	30127
603	13029	30113
604	13040	30068
605	13043	30003
606	13069	29992
607	13093	29976
608	13118	29963
609	13142	29948
610	13167	29934
611	13169	29868
612	13193	29853
613	13218	29837
614	13242	29821
615	13266	29805
616	13290	29789
617	13314	29774
618	13316	29709
619	13341	29694
620	13365	29680
621	13370	29621
622	13395	29607
623	13419	29592
624	13444	29577
625	13468	29561
626	13492	29546
627	13516	29530
628	13521	29471
629	13544	29454
630	13569	29439
631	13592	29422
632	13617	29407
633	13641	29392
634	13665	29376
635	13689	29359
636	13714	29344
637	13738	29329
638	13764	29317
639	13776	29275
640	13801	29260
641	13825	29244
642	13849	29229
643	13874	29213
644	13874	29147
645	13898	29131
646	13923	29115
647	13947	29099
648	13957	29055
649	13958	28990
650	13982	28975
651	14008	28962
652	14034	28950
653	14059	28936
654	14085	28923
655	14110	28909
656	14112	28847
657	14137	28833
658	14162	28818
659	14163	28757
660	14187	28740
661	14212	28725
662	14236	28710
663	14261	28695
664	14285	28678
665	14309	28661
666	14320	28618
667	14346	28606
668	14370	28590
669	14372	28531
670	14373	28469
671	14398	28453
672	14422	28437
673	14448	28425
674	14474	28412
675	14498	28395
676	14498	28333
677	14499	28271
678	14523	28255
679	14547	28239
680	14572	28224
681	14596	28208
682	14620	28192
683	14645	28177
684	14669	28161
685	14693	28144
686	14694	28083
687	14718	28067
688	14743	28052
689	14767	28037
690	14778	27996
691	14781	27939
692	14783	27882
693	14808	27866
694	14832	27851
695	14835	27794
696	14859	27778
697	14860	27720
698	14885	27704
699	14909	27689
700	14933	27672
701	14934	27613
702	14960	27601
703	14985	27587
704	15010	27572
705	15035	27558
706	15062	27546
707	15087	27532
708	15112	27517
709	15138	27505
710	15163	27490
711	15187	27474
712	15211	27457
713	15236	27443
714	15237	27384
715	15239	27329
716	15264	27313
717	15289	27299
718	15300	27259
719	15324	27242
720	15349	27228
721	15374	27214
722	15398	27198
723	15410	27159
724	15434	27142
725	15458	27126
726	15482	27110
727	15507	27094
728	15531	27078
729	15555	27062
730	15556	27005
731	15556	26947
732	15580	26931
733	15605	26915
734	15629	26899
735	15653	26883
736	15677	26867
737	15682	26817
738	15706	26801
739	15731	26786
740	15756	26770
741	15781	26756
742	15806	26740
743	15830	26723
744	15854	26707
745	15878	26691
746	15903	26675
747	15927	26658
748	15951	26642
749	15975	26625
750	15999	26609
751	16024	26594
752	16050	26580
753	16076	26566
754	16102	26552
755	16128	26539
756	16153	26524
757	16178	26509
758	16203	26492
759	16207	26444
760	16232	26428
761	16256	26412
762	16281	26395
763	16305	26379
764	16316	26341
765	16341	26326
766	16366	26309
767	16367	26255
768	16391	26239
769	16416	26223
770	16440	26207
771	16465	26190
772	16489	26173
773	16513	26157
774	16537	26139
775	16561	26122
776	16585	26104
777	16609	26088
778	16633	26071
779	16658	26054
780	16658	26001
781	16659	25948
782	16683	25931
783	16707	25914
784	16732	25898
785	16757	25881
786	16781	25865
787	16805	25848
788	16830	25831
789	16854	25814
790	16878	25797
791	16880	25746
792	16904	25730
793	16929	25714
794	16953	25697
795	16978	25680
796	17002	25663
797	17026	25647
798	17029	25597
799	17053	25580
800	17056	25530
801	17081	25515
802	17107	25502
803	17110	25453
804	17136	25438
805	17161	25422
806	17188	25409
807	17212	25393
808	17237	25376
809	17261	25359
810	17286	25343
811	17310	25326
812	17335	25310
813	17359	25293
814	17364	25247
815	17365	25196
816	17390	25180
817	17414	25164
818	17439	25147
819	17463	25130
820	17464	25080
821	17488	25062
822	17512	25045
823	17537	25028
824	17561	25011
825	17585	24994
826	17609	24977
827	17633	24960
828	17658	24943
829	17682	24926
830	17693	24890
831	17704	24854
832	17706	24805
833	17730	24789
834	17756	24773
835	17780	24756
836	17804	24739
837	17829	24722
838	17853	24704
839	17877	24688
840	17901	24671
841	17926	24654
842	17951	24637
843	17975	24620
844	17976	24570
845	18000	24553
846	18024	24536
847	18048	24519
848	18072	24501
849	18097	24484
850	18121	24467
851	18150	24456
852	18177	24442
853	18202	24426
854	18229	24412
855	18254	24396
856	18279	24379
857	18303	24361
858	18328	24345
859	18329	24296
860	18353	24279
861	18378	24263
862	18403	24246
863	18427	24229
864	18451	24211
865	18476	24194
866	18500	24176
867	18525	24159
868	18549	24141
869	18573	24124
870	18597	24106
871	18599	24059
872	18623	24041
873	18647	24024
874	18671	24006
875	18696	23989
876	18721	23972
877	18746	23956
878	18770	23938
879	18795	23921
880	18819	23903
881	18844	23886
882	18868	23868
883	18893	23851
884	18917	23833
885	18941	23816
886	18967	23800
887	18994	23786
888	19019	23769
889	19043	23751
890	19068	23733
891	19092	23716
892	19117	23699
893	19142	23681
894	19166	23664
895	19191	23646
896	19215	23628
897	19239	23610
898	19264	23592
899	19288	23574
900	19313	23557
901	19339	23541
902	19365	23525
903	19391	23510
904	19418	23495
905	19443	23478
906	19468	23461
907	19493	23443
908	19517	23425
909	19541	23407
910	19566	23389
911	19590	23371
912	19615	23353
913	19639	23334
914	19663	23316
915	19687	23298
916	19712	23281
917	19737	23263
918	19742	23222
919	19766	23204
920	19791	23186
921	19802	23152
922	19826	23134
923	19851	23116
924	19875	23098
925	19899	23080
926	19924	23062
927	19948	23043
928	19972	23025
929	19996	23006
930	20021	22989
931	20045	22970
932	20069	22951
933	20094	22933
934	20118	22915
935	20143	22897
936	20167	22879
937	20192	22861
938	20216	22843
939	20240	22824
940	20265	22806
941	20289	22788
942	20314	22770
943	20339	22753
944	20364	22734
945	20388	22716
946	20413	22698
947	20437	22679
948	20461	22661
949	20466	22620
950	20490	22602
951	20517	22586
952	20543	22569
953	20568	22551
954	20593	22534
955	20618	22516
956	20643	22498
957	20667	22480
958	20692	22461
959	20717	22443
960	20741	22425
961	20766	22406
962	20770	22367
963	20795	22348
964	20799	22308
965	20824	22289
966	20848	22271
967	20872	22253
968	20897	22234
969	20921	22215
970	20945	22196
971	20969	22178
972	20994	22159
973	21018	22140
974	21042	22121
975	21067	22103
976	21092	22085
977	21116	22066
978	21141	22048
979	21165	22029
980	21190	22011
981	21215	21993
982	21239	21974
983	21264	21955
984	21288	21937
985	21313	21918
986	21338	21901
987	21343	21861
988	21347	21822
989	21372	21804
990	21397	21786
991	21422	21768
992	21446	21748
993	21470	21729
994	21494	21710
995	21518	21691
996	21543	21673
997	21567	21654
998	21591	21635
999	21616	21616
1000	21640	21597
1001	21666	21580
1002	21692	21562
1003	21718	21545
1004	21743	21526
1005	21769	21510
1006	21794	21491
1007	21819	21473
1008	21844	21454
1009	21868	21435
1010	21892	21416
1011	21917	21397
1012	21941	21378
1013	21952	21345
1014	21976	21327
1015	22001	21308
1016	22025	21289
1017	22050	21270
1018	22074	21251
1019	22098	21232
1020	22123	21213
1021	22147	21194
1022	22171	21174
1023	22196	21155
1024	22220	21136
1025	22244	21117
1026	22268	21097
1027	22293	21078
1028	22318	21060
1029	22343	21041
1030	22368	21023
1031	22392	21004
1032	22416	20984
1033	22441	20965
1034	22465	20945
1035	22489	20926
1036	22513	20907
1037	22538	20887
1038	22562	20868
1039	22586	20849
1040	22610	20829
1041	22635	20810
1042	22659	20791
1043	22683	20771
1044	22708	20752
1045	22719	20721
1046	22743	20701
1047	22768	20682
1048	22792	20663
1049	22817	20643
1050	22841	20624
1051	22867	20606
1052	22892	20588
1053	22917	20569
1054	22942	20550
1055	22969	20533
1056	22993	20514
1057	23018	20494
1058	23042	20475
1059	23067	20455
1060	23091	20436
1061	23115	20416
1062	23141	20398
1063	23165	20378
1064	23190	20359
1065	23214	20339
1066	23238	20320
1067	23263	20300
1068	23287	20281
1069	23312	20262
1070	23337	20242
1071	23362	20224
1072	23386	20204
1073	23411	20185
1074	23435	20165
1075	23459	20145
1076	23483	20126
1077	23508	20106
1078	23532	20086
1079	23556	20066
1080	23579	20046
1081	23604	20026
1082	23628	20006
1083	23652	19986
1084	23656	19950
1085	23681	19930
1086	23747	19945
1087	23773	19928
1088	23797	19908
1089	23821	19888
1090	23846	19868
1091	23857	19837
1092	23881	19817
1093	23906	19797
1094	23930	19777
1095	23954	19758
1096	23978	19738
1097	24003	19718
1098	24027	19698
1099	24052	19679
1100	24076	19659
1101	24104	19642
1102	24129	19623
1103	24155	19604
1104	24180	19585
1105	24208	19567
1106	24232	19548
1107	24258	19529
1108	24282	19509
1109	24307	19489
1110	24331	19469
1111	24355	19449
1112	24380	19429
1113	24404	19409
1114	24428	19389
1115	24431	19352
1116	24455	19332
1117	24480	19312
1118	24504	19292
1119	24529	19272
1120	24553	19253
1121	24577	19232
1122	24602	19213
1123	24627	19193
